"id","name","email","job_title","location","department","api_url","deleted_by_id","deleted_by_type","joined_at","deleted_at","suspended_by_id","suspended_by_type","suspended_at","guid","state"
"1521758342","Gomm Wong","gomm@broken-cookies.com","player","","","https://www.yammer.com/api/v1/users/1521758342","","","2014-07-17T04:25:41.613-07:00","","","","","","active"
"1521758335","Chris Cheng","chris@broken-cookies.com","developer","","","https://www.yammer.com/api/v1/users/1521758335","","","2014-07-17T04:27:15.971-07:00","","","","","","active"
"1521758326","Fumitaka Tomo","taka@broken-cookies.com","MSc","","Computer Science","https://www.yammer.com/api/v1/users/1521758326","","","2014-07-21T08:04:49.343-07:00","","","","","","active"
"1521758242","Nancy Cui","nancy@broken-cookies.com","Data Analytics","","Data Analytics","https://www.yammer.com/api/v1/users/1521758242","","","2014-07-17T04:25:07.497-07:00","","","","","","active"
"1522130360","","test6@broken-cookies.com","","","","https://www.yammer.com/api/v1/users/1522130360","","","","","","","","","soft_delete"
"1522130349","Leo Liu","test2@broken-cookies.com","Developer","","Geolocation","https://www.yammer.com/api/v1/users/1522130349","","","2014-08-12T09:10:02.069-07:00","","","","","","active"
"1522130354","Peipei Lin","test3@broken-cookies.com","Analysis the geo data","","Data Analytics","https://www.yammer.com/api/v1/users/1522130354","","","2014-08-12T13:27:07.258-07:00","","","","","","active"
"1523275493","","david@broken-cookies.com","","","","https://www.yammer.com/api/v1/users/1523275493","","","","","","","","","soft_delete"
"1522130355","Jason Tan","test4@broken-cookies.com","Developer","","","https://www.yammer.com/api/v1/users/1522130355","","","2014-08-12T13:30:13.564-07:00","","","","","","active"
"1522130359","Callam Weeks","test5@broken-cookies.com","Developer","","Database","https://www.yammer.com/api/v1/users/1522130359","","","2014-08-12T17:24:49.696-07:00","","","","","","active"
"1523282202","","peipei@broken-cookies.com","","","","https://www.yammer.com/api/v1/users/1523282202","","","","","","","","","soft_delete"
"1523282203","","jason@broken-cookies.com","","","","https://www.yammer.com/api/v1/users/1523282203","","","","","","","","","soft_delete"
"1523282204","","leo@broken-cookies.com","","","","https://www.yammer.com/api/v1/users/1523282204","","","","","","","","","soft_delete"
"1522130346","Mike Lin","","student","","Computer Science","https://www.yammer.com/api/v1/users/1522130346","1521757806","User","2014-07-27T16:41:54.949-07:00","2014-08-15T08:51:16.551-07:00","","","","","soft_delete"
"1521758196","Max Gander","max@broken-cookies.com","Geolocation Specialist","","","https://www.yammer.com/api/v1/users/1521758196","","","2014-07-17T04:21:25.546-07:00","","","","","","active"
"1521757806","David Reischer","info@broken-cookies.com","Doing cool stuff","","Data Analytics","https://www.yammer.com/api/v1/users/1521757806","","","2014-07-17T04:03:54.729-07:00","","","","","","active"
